date,city_code,store,daily_revenue,checks,avg_check,traffic,conversion,gross_profit,margin_pct,sbp_share,mtd_revenue,mtd_traffic,mtd_conversion,mtd_avg_check,mtd_margin_pct,acc_share,svc_share,sp_share,month_plan,month_fact,month_forecast,forecast_pct
2026-04-13,МСК,RSMX_МСК_АВЕНЮ_ЮГО-ЗАПАДНАЯ,460179,20,23008.95,231,0.08695652173913043,105026.00901399997,0.26589248080757005,0.31249784579326506,4260715,3709,0.04344262295081967,26796.95,0.21000076422902142,0.1791917553743914,0.018562142738953437,0.005456361197592423,15160000,4260715,9832419.23076923,0.6485764664095798
2026-04-13,МСК,RSMX_МСК_КОЛУМБУС,977287,22,44422.14,322,0.06896551724137931,140062.83802799997,0.15229121329036296,0.58602788628054,13164661,5578,0.05429453422916288,44028.97,0.17809119043003763,0.1306372416274145,0.01642427404701116,0.025905262581391197,32990000,13164311,30379179.230769232,0.9208602373679671
2026-04-13,ВВК,RSTR_ВВК_КАЛИНА_МОЛЛ,120643,8,15080.38,130,0.06153846153846154,38690.65,0.39125846793888425,0.2987551867219917,5174298,3150,0.04683020070086014,35199.31,0.22372606872740966,0.16269762584219155,0.02121795072490993,0.02990569928519772,16610000,5174048,11940110.76923077,0.7188507386653082
2026-04-13,ВНЖ,RSTR_ВНЖ_ГАЛЕРЕЯ_ЧИЖОВА,42650,5,8530.0,0,0.0,17536.81,0.5016390619645518,0.2970691676436108,4069085,0,-10.88888888888889,41521.28,0.22679457732265215,0.1367073924481794,0.01862924957330702,0.027233149467263525,11270000,4069085,9390196.153846154,0.8332028530475736
2026-04-13,ЕБГ,RSTR_ЕБГ_ВЕЕР_МОЛЛ,209430,3,69810.0,112,0.02702702702702703,35026.546721,0.20353336413226885,0.013892908827785817,4150173,2489,0.023704299064521895,70453.78,0.2199583355439117,0.030176625603483335,0.008856795379647468,0.022423163945177302,10090000,4149923,9576745.384615384,0.9491323473355197
2026-04-13,ЕБГ,RSTR_ЕБГ_ГРИНВИЧ,622403,27,23051.96,409,0.06666666666666667,32952.94032300001,0.06069195556636227,0.5274873363814567,3670187,4232,0.037807183364839316,22938.67,0.16328578948071178,0.11722593470951693,0.04621708260801607,0.02445248452064407,12570000,3669937,8469085.384615384,0.6737538094367052
2026-04-13,ИРК,RSTR_ИРК_СИЛЬВЕР_МОЛЛ,0,0,0.0,138,0.0,0.0,0.0,0.0,770459,1911,0.013605442176870748,29633.04,0.10554803987748349,0.0011641186834260643,0.0,0.08250544129508061,5000000,770459,1777982.3076923077,0.35559646153846154
2026-04-13,КДР,RSTR_КДР_ГАЛЕРЕЯ_КРАСНОДАР,105252,5,21050.4,202,0.024752475247524754,35877.53804800001,0.3694823529500562,0.3512504782954993,3852704,3621,0.050262358464512564,21168.7,0.1675832529878154,0.14915010081774756,0.01987071245601477,0.009429446311344451,14150000,3852454,8881016.923076924,0.6276337055178038
2026-04-13,КЗН,RSTR_КЗН_KAZANMALL,444372,17,26139.53,235,0.07234042553191489,85986.395516,0.2363134341653281,0.026557379546314668,4658068,3170,0.05646630236794171,26008.2,0.19514904450936824,0.11642087163195986,0.023369995848928795,0.01831039885573199,17010000,4657818,10748718.461538462,0.6319058472391806
2026-04-13,КМР,RSTR_КМР_НОВЫЙ,125719,9,13968.78,160,0.05625,21341.230435999997,0.2301973924721574,0.048974189234841846,2948337,3201,0.051529209621993126,17868.71,0.19799673438306496,0.08436801319894463,0.0014317942171435156,0.008680849384654272,10080000,2948087,6803277.692307692,0.6749283424908425
2026-04-13,КСК,RSTR_КСК_ПЛАНЕТА,313119,17,18418.76,293,0.05802047781569966,31911.572359,0.09811618604582282,0.14856750294923113,6934782,4514,0.08351794328755073,18345.98,0.18920591860379607,0.1923746486584873,0.025452089402235273,0.01804734129320876,19000000,6934532,16002766.153846154,0.8422508502024291
2026-04-13,КСК,RSTR_КСК_ПЛАНЕТА_CARE,13215,1,13215.0,0,0.0,4540.7838480000005,0.38611469765625136,0.0,285314,0,-12.0,17832.12,0.29323339867750783,0.002713569964366449,0.0,0.3133286844385699,900000,285064,657840.0,0.7309333333333333
2026-04-13,МСК,RSTR_МСК_АВИАПАРК,977355,31,31527.58,435,0.07126436781609195,177492.96236500004,0.1649808959072367,0.23173922572556723,8309433,5628,0.046375266524520255,31824.22,0.1573292128542699,0.08820557926703339,0.019869828805257477,0.02379646952334166,26880000,8309183,19175037.692307692,0.7133563137019241
2026-04-13,МСК,RSTR_МСК_АФИМОЛЛ,519711,17,30571.24,242,0.07024793388429752,52674.497138,0.10985655734471395,0.5259885759077809,3733304,3809,0.0328160199527435,29982.33,0.177385065924279,0.13626271557026847,0.03947336835356158,0.01516628522230769,12800000,3733054,8614740.0,0.6730265625
2026-04-13,МСК,RSTR_МСК_ВЕГАС_КРОКУС_СИТИ,84012,6,14002.0,89,0.06741573033707865,20327.190237999998,0.36350177935724115,0.3923648101866509,1314463,1975,0.04759493670886076,14090.0,0.1647148256746816,0.13215143828180988,0.03388472140145723,0.03175405378198034,5520000,1314213,3032803.846153846,0.549420986621349
2026-04-13,МСК,RSTR_МСК_ВЕГАС_КУНЦЕВО,47294,2,23647.0,120,0.016666666666666666,9073.406286,0.16523692269614243,0.7285484857097028,1177612,1748,0.02860411899313501,23646.83,0.0989685767731408,0.14955917054911285,0.028551557243238523,0.010484464371053515,6900000,1177362,2716989.230769231,0.39376655518423634
2026-04-13,МСК,RSTR_МСК_ЕВРОПЕЙСКИЙ,1084693,41,26455.93,405,0.10123456790123457,110159.353783,0.10134594205096196,0.6421429764055704,8235718,5606,0.055119514805565465,26696.45,0.15222401016338942,0.09678470675277318,0.02078938529399611,0.024959434279375306,24800000,8235468,19004933.846153848,0.7663279776674938
2026-04-13,МСК,RSTR_МСК_КАПИТОЛИЙ_ВЕРНАДСКОГО,247338,10,24733.8,229,0.043668122270742356,38701.560603,0.18825161495311126,0.2604711205252664,2940576,2743,0.04345607003281079,24689.47,0.15409506014121225,0.09440290455471346,0.020728004431437496,0.029319228495435218,9100000,2940326,6785360.0,0.7456439560439561
2026-04-13,МСК,RSTR_МСК_МЕГА_ТЕПЛЫЙ_СТАН,1311771,37,35453.27,612,0.06045751633986928,141762.07707700002,0.10844933891666876,0.2564647191179385,7551924,6381,0.03385049365295399,34962.61,0.12853572963809248,0.08662981343431925,0.0195231867797652,0.022892820774448568,23500000,7551674,17426940.0,0.741571914893617
2026-04-13,МСК,RSTR_МСК_ОКЕАНИЯ,884557,28,31591.32,585,0.04786324786324787,161585.25555199996,0.16651718142319334,0.5631893708364232,8590035,6644,0.04078868151715834,31690.17,0.16980805411770053,0.14660211182616762,0.027436845581694903,0.032057058988500455,26200000,8589785,19822580.769230768,0.7565868995889607
2026-04-13,МСК,RSTR_МСК_РИВЬЕРА,634728,20,31736.4,355,0.056338028169014086,85841.49166799999,0.12390112183622447,0.26155115540287453,6735520,5190,0.04026974951830443,32243.4,0.1692572778812598,0.13698326288292765,0.025970067275256854,0.027577127281640136,22600000,6735270,15542930.769230768,0.6877407415588837
2026-04-13,ПРМ,RSTR_ПРМ_ПЛАНЕТА,489692,17,28805.43,521,0.032629558541266796,117535.469485,0.28970448677084496,0.25557111960886374,4657441,3742,0.04302512016034206,28862.48,0.17385532534051404,0.10031440131406756,0.027777035875658763,0.02570117122823125,12500000,4657191,10747440.0,0.8597952
2026-04-13,РНД,RSTR_РНД_ГОРИЗОНТ,228689,11,20789.91,186,0.05913978494623656,20928.261152999996,0.0887340609352263,0.11475188447722962,2667669,2727,0.04363806197286395,22417.39,0.15039588954774056,0.1042075093581134,0.030684838279781383,0.019321616456169725,9950000,2667419,6155582.307692308,0.6186514882102822
2026-04-13,СГТ,RSTR_СГТ_МЕГА_ГРИНН,110604,5,22120.8,227,0.022026431718061675,35269.545615000004,0.5275534256109186,0.32547788428586154,2790789,2422,0.05202312138728324,22018.85,0.2787172210953655,0.1421502359250729,0.016893406334306954,0.011189450953364408,10220000,2790539,6439705.384615385,0.6301081599427969
2026-04-13,СОЧ,RSTR_СОЧ_МОРЕМОЛЛ,162182,9,18020.22,150,0.06,36873.90749,0.3392625243093584,0.26404679215798556,3620396,3100,0.06419354838709677,18102.11,0.20133159209545757,0.10286264656116582,0.019933623450857593,0.02194147682174631,13200000,3620146,8354183.076923077,0.6328926573426573
2026-04-13,СПБ,RSTR_СПБ_ГАЛЕРЕЯ,1218471,34,35837.38,542,0.06273062730627306,145841.290228,0.1293867013338795,0.3370952248487408,5977319,5195,0.03272377285851781,35181.88,0.13182759473706495,0.08708777464304314,0.034154174949424266,0.02322009109941036,25600000,5977069,13793236.923076924,0.5387983173076923
2026-04-13,СПБ,RSTR_СПБ_ЕВРОПОЛИС,823685,29,28402.93,430,0.06744186046511629,93977.34736600002,0.127859531636108,0.43474529780564266,5195341,4408,0.041515426497277674,28483.24,0.1450801187726133,0.11062367935722203,0.03266917492915162,0.02433257893698173,18700000,5195091,11988710.76923077,0.6411075277663513
2026-04-13,ТМК,RSTR_ТМК_ИЗУМРУДНЫЙ_ГОРОД,402483,16,25155.19,149,0.10738255033557047,95907.13038799999,0.35087056698498115,0.24705405405405406,3160844,2058,0.061855670103092786,24888.46,0.21348498136417944,0.07675500226863635,0.02849462243877928,0.017727197628830198,10090000,3160594,7293678.461538461,0.7228620873675383
2026-04-13,ТМН,RSTR_ТМН_КРИСТАЛЛ,277039,15,18469.27,310,0.04838709677419355,62043.064111,0.33003050952288445,0.34717668782773217,3728482,3644,0.055159165751920965,18587.27,0.20951040241366597,0.10099763058169539,0.022855665548765284,0.01978751306171875,11800000,3728232,8603612.307692308,0.7281196870925685
2026-04-13,УФА,RSTR_УФА_ПЛАНЕТА,155403,10,15540.3,274,0.0364963503649635,22304.927542,0.2053550083666598,0.16651418118270427,2710815,3620,0.04861878453038674,15384.22,0.1772933474164129,0.07339911246573428,0.013575860765668681,0.031106848959907103,12200000,2710565,6255150.0,0.5127172131147541
2026-04-13,ХБР,RSTR_ХБР_БРОСКО_МОЛЛ,300822,12,25068.5,238,0.05042016806722689,65301.18889099999,0.3003686192704057,0.34742109059322866,3039237,3017,0.040437520716274445,24932.02,0.22290967566916184,0.1608730369191109,0.006628537191442443,0.009850161068986343,12200000,3038987,7013046.923076923,0.5748399117276166
2026-04-14,МСК,RSMX_МСК_АВЕНЮ_ЮГО-ЗАПАДНАЯ,534925,20,26746.25,208,0.09615384615384616,84527.818049,0.1883271718018564,0.32305238206005044,4795640,3917,0.04748532039826416,25715.55,0.20572509030424533,0.17318885892051404,0.01728975887188988,0.005493448448454023,15160000,4795390,9589080.0,0.6325250659630607
2026-04-14,МСК,RSMX_МСК_КОЛУМБУС,661556,14,47254.0,289,0.04844290657439446,80750.41635499999,0.10872182068860648,0.5453921762015846,13826217,5867,0.04925856485341742,46553.5,0.17478185286313456,0.1209244366656198,0.014334694340639365,0.024976207418119587,32990000,13825967,27651934.615384616,0.8387982608488819
2026-04-14,ВВК,RSTR_ВВК_КАЛИНА_МОЛЛ,444804,17,26164.94,164,0.10365853658536585,78068.366657,0.20616627400493572,0.20173111600472294,5619102,3314,0.05039287869643935,33627.82,0.22234116204101313,0.14803374176630027,0.0240124665504814,0.029668794951646756,16610000,5618852,11237685.384615384,0.6765614319455373
2026-04-14,ВНЖ,RSTR_ВНЖ_ГАЛЕРЕЯ_ЧИЖОВА,611540,17,35972.94,168,0.10119047619047619,102099.92920600001,0.21033732799448722,0.33824640926241396,4680625,168,0.05011904761904762,35653.54,0.2242614676068375,0.11842178086093555,0.02636864846717357,0.027192364390633734,11270000,4680375,9360750.0,0.8305909494223593
2026-04-14,ЕБГ,RSTR_ЕБГ_ВЕЕР_МОЛЛ,200590,8,25073.75,152,0.05263157894736842,30790.625267000004,0.16454357635915958,0.49257997762877454,4350763,2641,0.021204089360090874,77380.25,0.21865013081600595,0.028383888757362404,0.00818223976620407,0.021611841803055443,10090000,4350513,8463100.384615384,0.8387611887626744
2026-04-14,ЕБГ,RSTR_ЕБГ_ГРИНВИЧ,239430,10,23943.0,364,0.027472527472527472,44977.43541599999,0.23311636432062756,0.12465829782670447,3919600,4596,0.03220214795474326,22998.83,0.1684987308781722,0.11118175339459113,0.04390958261044477,0.024691361363404723,12570000,3919350,7807950.0,0.6211575186953063
2026-04-14,ИРК,RSTR_ИРК_СИЛЬВЕР_МОЛЛ,441532,18,24529.56,185,0.0972972972972973,41723.34538100001,0.11162087169291557,0.48735955056179773,1211991,2096,0.02385496183206107,24337.17,0.10852054195466004,0.010995116218974563,0.025524600971879037,0.07602132560295074,5000000,1211741,2609351.5384615385,0.5218703076923076
2026-04-14,КДР,RSTR_КДР_ГАЛЕРЕЯ_КРАСНОДАР,711949,22,32361.32,253,0.08695652173913043,72289.87256899998,0.08729334694836714,0.3482890365448505,4564653,3874,0.046721734641197724,25204.1,0.1597633836266151,0.14058330775112744,0.01919021963420779,0.00963393077780904,14150000,4564403,8723091.923076924,0.6164736344923629
2026-04-14,КЗН,RSTR_КЗН_KAZANMALL,463613,16,28975.81,279,0.05734767025089606,65345.53023399999,0.1410541888703461,0.23295454545454544,5121931,3449,0.05218886923746014,26516.72,0.189896502771787,0.11222399335545862,0.022489830235240705,0.018196611325764505,17010000,5121681,10526653.846153846,0.6188514894858239
2026-04-14,КМР,RSTR_КМР_НОВЫЙ,412772,24,17198.83,260,0.09230769230769231,67534.65322500001,0.20637349580337794,0.492926734301624,3361109,3461,0.0514302224790523,18834.32,0.19879576207908136,0.08375876230315266,0.0021632039548098414,0.008292337432624905,10080000,3360859,6721718.461538462,0.6668368513427026
2026-04-14,КСК,RSTR_КСК_ПЛАНЕТА,635960,30,21198.67,313,0.09584664536741214,83183.38765599999,0.125080372698238,0.32108698579031267,7570992,4827,0.0834887093432774,18754.86,0.1811346197958675,0.18226722742856757,0.023858281914823296,0.017762240612379856,19000000,7570742,15066811.153846154,0.7930953238866396
2026-04-14,КСК,RSTR_КСК_ПЛАНЕТА_CARE,18061,1,18061.0,0,0.0,8242.495465,0.5069258058553327,0.0,303375,0,-11.944444444444445,17845.59,0.3059115584109551,0.0030568446555977714,0.0,0.3073090276411707,900000,303125,699519.2307692308,0.7772435897435897
